directive_combination_id,representative_record_id,canonical_smiles,exact_monomer_name,solvent_name,solvent_system,supporting_electrolyte,measurement_count,clean_cv_agagcl_onset_count,clean_cv_agagcl_peak_count,native_fc_count,production_current_count,production_correction_required_count,staging_or_external_count,directive_quantity_eligible,has_current_pipeline_comparable,onset_profile_eligible,peak_profile_eligible,native_fc_profile_eligible,best_record_id,best_master_label_class,coverage_status,blocking_issue
combo-026468a3ba7b523e,EXT_ZHU_M3,,Zhu 2017 monomer M3,DCM/ACN,DCM/ACN,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_ZHU_M3,MIXED_SOLVENT_PARKED,MIXED_SOLVENT_PARKED,Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.
combo-078dff7ff238a6df,EXT_THINSOLID2012_PAYWALLED,,Thin Solid Films 2012 candidate,,,,1,0,0,0,0,0,1,False,False,False,False,False,EXT_THINSOLID2012_PAYWALLED,PROVENANCE_BLOCKED,PROVENANCE_BLOCKED,No lawful open PDF was retrieved; do not use for production ingest.
combo-07c9251ef16159be,EXT_IJMS2023_IDOH_Th,,IDOH-Th,DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_IJMS2023_IDOH_Th,PROVENANCE_BLOCKED,PROVENANCE_BLOCKED,Exact per-monomer Eonset values and structures require manual table normalization.
combo-08831469f38842a5,EXT_ZHU_M8,,Zhu 2017 monomer M8,DCM/THF,DCM/THF,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_ZHU_M8,MIXED_SOLVENT_PARKED,MIXED_SOLVENT_PARKED,Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.
combo-0ecf90b225de5655,PROD006,c1csc(-c2cccs2)c1,"2,2'-bithiophene",acetonitrile,0.1 M TBAPF6/acetonitrile,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD006,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-11d2559c86a019c1,R16,CCCCCCCCCCOc1ccc(-c2nc3c(-c4cc(OCCCCCC)cs4)cnc(-c4cc(OCCCCCC)cs4)c3nc2-c2ccc(OCCCCCCCCCC)cc2)cc1,"2,3-bis(4-decyloxyphenyl)-5,8-bis(4-hexyloxythiophen-2-yl)pyrido[4,3-b]pyrazine",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R16,SOURCE_CONFLICT,SOURCE_CONFLICT_BLOCKED,"source reference conflict unresolved: Section 2.3 reports Ag wire = 0.03 V vs SCE, whereas Table 2 footnote (b) uses a +0.02 V reference correction."
combo-13a77a33f58770c0,PROD035,Nc1ccccc1,aniline,acetonitrile,0.1 M LiBF4/acetonitrile,0.1 M LiBF4,1,0,1,0,1,0,0,True,True,False,True,False,PROD035,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-17d8936d9ba27ddc,EXT_DTPNAP_ONSET,,naphthalimide dithienopyrrole derivative,DCM,DCM,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_DTPNAP_ONSET,STRUCTURE_BLOCKED,STRUCTURE_BLOCKED,Exact machine-auditable DTPNap structure not normalized in this review-only audit.
combo-1be7a464d4f8f099,EXT_ZHU_M2,,Zhu 2017 monomer M2,DCM/ACN,DCM/ACN,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_ZHU_M2,MIXED_SOLVENT_PARKED,MIXED_SOLVENT_PARKED,Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.
combo-1cbc7e840d413016,PROD012,c1csc(-c2ccc(-c3cccs3)s2)c1,"2,2':5',2''-terthiophene",DCM,0.1 M TBAPF6/dichloromethane,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD012,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
