monomer_name,feasibility_label,monomer_canonical_smiles,monomer_HOMO_eV,monomer_LUMO_eV,monomer_HL_gap_eV,monomer_vertical_IP_eV,monomer_adiabatic_IP_eV,monomer_lambda_ox_eV,monomer_cation_max_spin,monomer_cation_max_spin_atom_idx,monomer_cation_max_spin_is_alpha,monomer_cation_alpha_spin_sum,secondary_monomer_calc_status,secondary_monomer_calc_error
"2,3-benzofuran",NO-chem,c1ccc2occc2c1,-10.4076,-6.7766,3.6310000000000002,13.317919379863394,13.274981989278151,0.042937390585242596,0.2203,8,False,0.1604,ok,
"2,5-dimethylthiophene",NO-chem,Cc1ccc(C)s1,-9.981,-6.2833,3.6977,12.873232266400741,12.778668617488098,0.09456364891264357,0.2469,1,False,0.0,ok,
"3,4-dimethoxythiophene",YES,COc1cscc1OC,-9.9867,-6.44,3.5467000000000004,12.627145550657458,12.473037946361272,0.1541076042961862,0.318,4,False,0.0378,ok,
"3,6-di-tert-butylcarbazole",NO-chem,CC(C)(C)c1ccc2[nH]c3ccc(C(C)(C)C)cc3c2c1,-9.6113,-6.4975,3.1138000000000003,11.793440921941999,11.742230997823999,0.05120992411799996,0.1683,8,False,0.0,ok,
"3,6-diethylcarbazole",NO-chem,CCc1ccc2[nH]c3ccc(CC)cc3c2c1,-9.6518,-6.5371,3.1147,11.912500804981253,11.867594126373344,0.044906678607908646,0.1773,6,False,0.0,ok,
"3,6-diphenylcarbazole",NO-chem,c1ccc(-c2ccc3[nH]c4ccc(-c5ccccc5)cc4c3c2)cc1,-9.7994,-6.7195,3.0799000000000003,11.690106499014584,11.58499353988192,0.10511295913266494,0.1278,8,False,0.0,ok,
3-ethylcarbazole,YES,CCc1ccc2[nH]c3ccccc3c2c1,-9.7614,-6.5966,3.1648000000000005,12.112701504325617,12.072490150414316,0.04021135391130137,0.1836,6,False,0.0,ok,
3-phenylcarbazole,NO-chem,c1ccc(-c2ccc3[nH]c4ccccc4c3c2)cc1,-9.8364,-6.6908,3.145599999999999,11.942039853206676,11.848279484415867,0.09376036879080907,0.1518,8,False,0.0,ok,
3-tert-butylcarbazole,NO-chem,CC(C)(C)c1ccc2[nH]c3ccccc3c2c1,-9.7483,-6.5702,3.1781000000000006,12.047469008647386,12.001099718028774,0.04636929061861217,0.1747,8,False,0.0,ok,
N-phenylpyrrole,YES,c1ccc(-n2cccc2)cc1,-9.9413,-6.5597,3.3815999999999997,12.770424383797153,12.75801789646599,0.012406487331162452,0.1401,5,True,0.2802,ok,
triphenylamine,NO-chem,c1ccc(N(c2ccccc2)c2ccccc2)cc1,-9.4911,-6.2507,3.2403999999999993,11.688101019848213,11.604336481680921,0.08376453816729246,0.267,4,False,0.0,ok,
tris(4-bromophenyl)amine,NO-chem,Brc1ccc(N(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,-10.3372,-7.3013,3.035899999999999,12.129177726583455,12.07560748682266,0.05357023976079489,0.1922,5,False,0.0,ok,
tris(4-methoxyphenyl)amine,NO-chem,COc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,-9.1287,-6.1669,2.9618,11.082931490633237,10.905115149728882,0.17781634090435539,0.2162,6,False,0.0,ok,
