monomer_name,coupling_mode,building_block_smiles,approximate,notes
thiophene,alpha,[1*]c1ccc([2*])s1,False,"2,5-alpha coupling (auto-derived; both alpha C-H adjacent to S)"
EDOT,alpha,,False,"2,5-alpha coupling (auto-derived); 3,4-EDOT, both alpha C-H free"
ProDOT,alpha,,False,"2,5-alpha coupling (auto-derived); 3,4-ProDOT, both alpha C-H free"
3-hexylthiophene,alpha,[1*]c1cc(CCCCCC)c([2*])s1,False,"2,5-alpha coupling (auto-derived; head-to-tail not enforced)"
bithiophene,alpha,[1*]c1ccc(-c2csc([2*])c2)s1,False,"5,5'-outer alpha coupling (auto-derived)"
pyrrole,alpha,[1*]c1ccc([2*])[nH]1,False,"2,5-alpha coupling (auto-derived)"
EDOP,alpha,,False,"2,5-alpha coupling (auto-derived); 3,4-EDOP, both alpha C-H free"
furan,alpha,[1*]c1ccc([2*])o1,False,"2,5-alpha coupling (auto-derived)"
selenophene,alpha,[1*]c1ccc([2*])[se]1,False,"2,5-alpha coupling (auto-derived)"
EDOS,alpha,,False,"2,5-alpha coupling (auto-derived); 3,4-EDOS, both alpha C-H free"
aniline,explicit,[1*]Nc1ccc([2*])cc1,True,"head-to-tail N-to-para (1,4); couples through N not a clean C-C alpha - APPROXIMATE"
carbazole,explicit,[1*]c1ccc2[nH]c3ccc([2*])cc3c2c1,False,"3,6-coupling (standard for carbazole electropolymerization)"
"fluorene 9,9-dioctyl",explicit,CCCCCCCCC1(CCCCCCCC)c2cc([1*])ccc2-c2ccc([2*])cc21,False,"2,7-coupling (standard for polyfluorene)"
CPDT,alpha,[1*]c1cc2c(s1)-c1sc([2*])cc1C2,False,"2,6-alpha coupling of the flanking thiophenes (auto-derived)"
benzothiadiazole-thiophene D-A,explicit,[1*]c1sc(-c2ccc3nsnc3c2)cc1[2*],True,"couples at the single thiophene's 2,3 positions; D-A linkage is a SIMPLIFICATION - needs review"
3-methylthiophene,alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
3-fluorothiophene,alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
"3,4-difluorothiophene",alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
3-methoxythiophene,alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
terthiophene,alpha,[1*]c1ccc(-c2ccc(-c3ccc([2*])s3)s2)s1,False,"5,5''-outer-alpha coupling"
N-methylpyrrole,alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
N-octylpyrrole,alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
"3,4-dimethylpyrrole",alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
3-methylfuran,alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
3-hexylfuran,alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
"3,4-dimethylfuran",alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
bifuran,alpha,[1*]c1ccc(-c2ccc([2*])o2)o1,False,"5,5'-outer-alpha coupling"
terfuran,alpha,[1*]c1ccc(-c2ccc(-c3ccc([2*])o3)o2)o1,False,"5,5''-outer-alpha coupling"
3-hexylselenophene,alpha,,False,"2,5-alpha coupling (auto-derived; both alpha C-H free)"
o-methoxyaniline,explicit,[1*]Nc1ccc([2*])cc1OC,True,"N-to-para (1,4) coupling like parent aniline; methoxy ortho to N - APPROXIMATE"
o-toluidine,explicit,[1*]Nc1ccc([2*])cc1C,True,"N-to-para (1,4) coupling like parent aniline; methyl ortho to N - APPROXIMATE"
diphenylamine,explicit,[1*]c1ccc(Nc2ccc([2*])cc2)cc1,True,"4,4'-para C-C coupling (poly(diphenylamine)) - APPROXIMATE"
N-vinylcarbazole,explicit,[1*]c1ccc2c(c1)c1cc([2*])ccc1n2C=C,False,"3,6-coupling (standard for carbazole electropolymerization); N-vinyl pendant"
"9,9-dimethylfluorene",explicit,CC1(C)c2cc([1*])ccc2-c2ccc([2*])cc21,False,"2,7-coupling (standard for polyfluorene)"
"thieno[3,4-b]pyrazine",explicit,[1*]c1sc([2*])c2nccnc12,True,"couples at the thiophene 2,5-alpha positions; D-A acceptor - APPROXIMATE"
"dithieno[3,2-b:2',3'-d]pyrrole",explicit,[1*]c1cc2[nH]c3cc([2*])sc3c2s1,True,"2,6-outer-thiophene-alpha coupling of the fused DTP core - APPROXIMATE"
