monomer_name,monomer_canonical_smiles,solvent_name,dGsolv_kcal_mol,method
thiophene,c1ccsc1,acetonitrile,-4.154327,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,DCM,-4.556734,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,propylene carbonate,-4.178485,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,DMF,-4.588488,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,DMSO,-4.503934,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,THF,-4.636932,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,nitromethane,-3.807381,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,water,-1.285033,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,GBL,-4.442396,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,sulfolane,-4.382832,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,NMP,-4.610572,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,nitrobenzene,-4.278836,orca6.1/opencosmors24a/bp86/def2-tzvpd
thiophene,c1ccsc1,benzonitrile,-4.289942,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,acetonitrile,-7.933971,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,DCM,-8.204409,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,propylene carbonate,-7.876781,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,DMF,-8.320800,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,DMSO,-8.263783,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,THF,-8.197768,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,nitromethane,-7.547103,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,water,-4.181513,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,GBL,-8.202967,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,sulfolane,-8.119099,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,NMP,-8.331090,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,nitrobenzene,-7.831764,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOT,c1scc2c1OCCO2,benzonitrile,-7.873268,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,acetonitrile,-8.183662,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,DCM,-8.979765,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,propylene carbonate,-8.253178,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,DMF,-8.717003,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,DMSO,-8.595050,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,THF,-8.794686,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,nitromethane,-7.842794,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,water,-4.198910,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,GBL,-8.569590,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,sulfolane,-8.490149,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,NMP,-8.760221,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,nitrobenzene,-8.428487,orca6.1/opencosmors24a/bp86/def2-tzvpd
ProDOT,c1scc2c1OCCCO2,benzonitrile,-8.427968,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,acetonitrile,-6.314755,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,DCM,-8.238485,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,propylene carbonate,-6.708036,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,DMF,-7.701777,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,DMSO,-7.338019,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,THF,-8.364802,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,nitromethane,-5.603550,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,water,-0.092257,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,GBL,-7.253418,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,sulfolane,-7.142510,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,NMP,-7.853665,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,nitrobenzene,-7.453152,orca6.1/opencosmors24a/bp86/def2-tzvpd
3-hexylthiophene,CCCCCCc1ccsc1,benzonitrile,-7.387012,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,acetonitrile,-8.336464,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,DCM,-8.976521,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,propylene carbonate,-8.456075,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,DMF,-9.184169,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,DMSO,-9.023763,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,THF,-9.310621,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,nitromethane,-7.682165,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,water,-3.218615,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,GBL,-8.934681,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,sulfolane,-8.854919,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,NMP,-9.287759,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,nitrobenzene,-8.648449,orca6.1/opencosmors24a/bp86/def2-tzvpd
bithiophene,c1csc(-c2ccsc2)c1,benzonitrile,-8.676924,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,acetonitrile,-6.966761,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,DCM,-5.469332,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,propylene carbonate,-6.649897,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,DMF,-8.334795,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,DMSO,-8.621119,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,THF,-7.865436,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,nitromethane,-5.893562,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,water,-4.840336,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,GBL,-7.471931,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,sulfolane,-6.926309,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,NMP,-8.448184,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,nitrobenzene,-5.807003,orca6.1/opencosmors24a/bp86/def2-tzvpd
pyrrole,c1cc[nH]c1,benzonitrile,-6.312806,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,acetonitrile,-10.074587,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,DCM,-8.823529,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,propylene carbonate,-9.718813,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,DMF,-11.249101,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,DMSO,-11.524428,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,THF,-10.674216,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,nitromethane,-9.142410,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,water,-7.421281,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,GBL,-10.500640,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,sulfolane,-9.990598,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,NMP,-11.333243,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,nitrobenzene,-8.866263,orca6.1/opencosmors24a/bp86/def2-tzvpd
EDOP,c1[nH]cc2c1OCCO2,benzonitrile,-9.331275,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,acetonitrile,-3.746602,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,DCM,-3.933606,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,propylene carbonate,-3.697403,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,DMF,-4.066208,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,DMSO,-4.019263,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,THF,-4.006463,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,nitromethane,-3.435436,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,water,-1.256713,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,GBL,-3.937125,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,sulfolane,-3.869579,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,NMP,-4.059042,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,nitrobenzene,-3.688380,orca6.1/opencosmors24a/bp86/def2-tzvpd
furan,c1ccoc1,benzonitrile,-3.717615,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,acetonitrile,-4.372990,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,DCM,-4.637755,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,propylene carbonate,-4.367561,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,DMF,-4.860613,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,DMSO,-4.803498,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,THF,-4.836724,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,nitromethane,-3.975924,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,water,-1.371457,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,GBL,-4.673680,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,sulfolane,-4.601186,orca6.1/opencosmors24a/bp86/def2-tzvpd
selenophene,c1cc[se]c1,NMP,-4.888780,orca6.1/opencosmors24a/bp86/def2-tzvpd
